"Date","home.team","away.team","home.score","away.score"
2018-03-11,"Las Palmas","Villarreal",9,11
2018-03-12,"Alaves","Betis",9,10
2018-03-16,"Levante","Eibar",6,13
2018-03-17,"Betis","Espanol",9,4
2018-03-17,"La Coruna","Las Palmas",13,8
2018-03-17,"Sociedad","Getafe",8,9
2018-03-17,"Valencia","Alaves",24,16
2018-03-18,"Barcelona","Ath Bilbao",18,10
2018-03-18,"Celta","Malaga",9,5
2018-03-18,"Leganes","Sevilla",12,10
2018-03-18,"Real Madrid","Girona",20,10
2018-03-18,"Villarreal","Ath Madrid",17,8
2018-03-31,"Ath Bilbao","Celta",11,13
2018-03-31,"Girona","Levante",12,15
2018-03-31,"Las Palmas","Real Madrid",17,17
2018-03-31,"Sevilla","Barcelona",21,20
2018-04-01,"Ath Madrid","La Coruna",15,10
2018-04-01,"Eibar","Sociedad",15,7
2018-04-01,"Espanol","Alaves",12,13
2018-04-01,"Leganes","Valencia",8,3
2018-04-01,"Malaga","Villarreal",13,11
2018-04-02,"Getafe","Betis",8,7
2018-04-06,"La Coruna","Malaga",14,11
2018-04-07,"Alaves","Getafe",11,5
2018-04-07,"Barcelona","Leganes",12,11
2018-04-07,"Betis","Eibar",13,5
2018-04-07,"Celta","Sevilla",12,16
2018-04-08,"Levante","Las Palmas",11,17
2018-04-08,"Real Madrid","Ath Madrid",30,9
2018-04-08,"Sociedad","Girona",13,8
2018-04-08,"Valencia","Espanol",14,21
2018-04-09,"Villarreal","Ath Bilbao",7,17
2018-04-13,"Girona","Betis",9,10
2018-04-14,"Ath Bilbao","La Coruna",13,5
2018-04-14,"Barcelona","Valencia",12,17
2018-04-14,"Las Palmas","Sociedad",7,20
2018-04-14,"Leganes","Celta",19,5
2018-04-14,"Sevilla","Villarreal",18,7
2018-04-15,"Ath Madrid","Levante",13,11
2018-04-15,"Eibar","Alaves",21,2
2018-04-15,"Getafe","Espanol",13,5
2018-04-15,"Malaga","Real Madrid",13,16
2018-04-17,"Celta","Barcelona",18,14
2018-04-17,"La Coruna","Sevilla",22,24
2018-04-17,"Villarreal","Leganes",17,6
2018-04-18,"Espanol","Eibar",10,5
2018-04-18,"Real Madrid","Ath Bilbao",29,6
2018-04-18,"Valencia","Getafe",10,8
2018-04-19,"Alaves","Girona",11,14
